segment_id,segment_name,lifecycle_stage,lifecycle_day,notif_1,notif_2,notif_3,notif_4,notif_5,notif_6,notif_7,notif_8,notif_9
SEG_01,High-Active Power Users,paid,D8,"(TPL_SEG_01_PREMIUM_AFFIRMATION_05, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_05, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D9,"(TPL_SEG_01_PREMIUM_AFFIRMATION_01, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_05, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D10,"(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_05, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, in_app_message)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D11,"(TPL_SEG_01_DEEP_IMMERSION_03, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D12,"(TPL_SEG_01_DEEP_IMMERSION_04, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D13,"(TPL_SEG_01_DEEP_IMMERSION_05, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D14,"(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D15,"(TPL_SEG_01_DEEP_IMMERSION_02, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_02, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_03, evening, in_app_message)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D16,"(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, evening, in_app_message)",
SEG_01,High-Active Power Users,paid,D17,"(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, evening, in_app_message)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01, evening, in_app_message)",
