template_id,segment_id,segment_name,lifecycle_stage,phase_name,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate
TPL_SEG_01_PREMIUM_AFFIRMATION_01,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Epic Meaning,evening,5000,1050,2850,0.2100,0.5700,0.0060
TPL_SEG_01_PREMIUM_AFFIRMATION_02,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Empowerment,morning,5000,900,2400,0.1800,0.4800,0.0090
TPL_SEG_01_PREMIUM_AFFIRMATION_03,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Loss Avoidance,evening,5000,1150,2650,0.2300,0.5300,0.0070
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Epic Meaning,evening,6000,1260,3300,0.2100,0.5500,0.0055
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Epic Meaning,morning,6000,1020,2760,0.1700,0.4600,0.0080
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Empowerment,afternoon,6000,660,1920,0.1100,0.3200,0.0110
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Loss Avoidance,evening,6000,1380,3060,0.2300,0.5100,0.0065
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_01,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Empowerment,evening,4000,840,2200,0.2100,0.5500,0.0050
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_02,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Epic Meaning,morning,4000,680,1720,0.1700,0.4300,0.0085
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_03,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Loss Avoidance,night,4000,400,1080,0.1000,0.2700,0.0120
