template_id,segment_id,segment_name,lifecycle_stage,phase_number,phase_name,day_range,primary_goal,theme,tone,title_en,body_en,cta_en,title_hi,body_hi,cta_hi,hook_type,format_type,feature_ref,iteration,ctr,engagement_rate,uninstall_rate,theme_samples,performance_status,source_template_id
TPL_SEG_01_PREMIUM_AFFIRMATION_01,SEG_01,High-Active Power Users,paid,4,Premium Affirmation,Days 8–10,Increase exercise completion rate by 20% within the first week post-conversion,Epic Meaning,Motivational,Boost Your Streak Today!,Complete today's session to keep your streak alive.,Open Now,आज के सत्र में अपनी स्ट्रीक बढ़ाएं!,आज का सत्र पूरा करने से आपकी स्ट्रीक जीवित रहेगी।,अब खोलें,Epic Meaning,challenge,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_PREMIUM_AFFIRMATION_01
TPL_SEG_01_PREMIUM_AFFIRMATION_02,SEG_01,High-Active Power Users,paid,4,Premium Affirmation,Days 8–10,Increase exercise completion rate by 20% within the first week post-conversion,Epic Meaning,Motivational,Ready to Beat Yesterday?,Your last score was 72. Can you top it in 5 minutes today?,Start Now,आज को पिछले दिन से बेहतर बनाएं!,आपकी पिछली रेटिंग 72 थी। आज के 5 मिनट में इसे बढ़ा सकते हैं?,शुरू करें,Epic Meaning,question_hook,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_PREMIUM_AFFIRMATION_02
TPL_SEG_01_PREMIUM_AFFIRMATION_03,SEG_01,High-Active Power Users,paid,4,Premium Affirmation,Days 8–10,Increase exercise completion rate by 20% within the first week post-conversion,Epic Meaning,Motivational,Your Progress Matters,"5 lessons completed, 50 coins waiting to be spent.",Redeem Now,आपकी प्रगति महत्वपूर्ण है!,आठ सत्र पूरे करने के बाद आपको 50 सिक्के मिलेंगे। इन्हें अब खरीदें।,अब खरीदें,Epic Meaning,social_proof,coins,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_PREMIUM_AFFIRMATION_03
TPL_SEG_01_PREMIUM_AFFIRMATION_04,SEG_01,High-Active Power Users,paid,4,Premium Affirmation,Days 8–10,Increase exercise completion rate by 20% within the first week post-conversion,Epic Meaning,Motivational,Unlock Your Next Badge,"Day 5 challenge unlocked, tackle today's session.",Tackle Now,आगे की बैज को लॉक करें!,"आठवें दिन का चैलेंज खुल गया, आज के सत्र पर ध्यान दें।",अब हमला करें,Epic Meaning,challenge,badge,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_PREMIUM_AFFIRMATION_04
TPL_SEG_01_PREMIUM_AFFIRMATION_05,SEG_01,High-Active Power Users,paid,4,Premium Affirmation,Days 8–10,Increase exercise completion rate by 20% within the first week post-conversion,Epic Meaning,Motivational,Tip: Boost Your Progress,"10 minutes daily beats 2 hours weekly, start now.",Start Now,टिप: प्रगति बढ़ाएं!,"दिन में 10 मिनट से ही दो घंटे की तुलना में बेहतर रहें, अब शुरू करें।",अब शुरू करें,Epic Meaning,insight_tip,progress,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_PREMIUM_AFFIRMATION_05
TPL_SEG_01_DEEP_IMMERSION_01,SEG_01,High-Active Power Users,paid,5,Deep Immersion,Days 11–15,Increase exercise completion rate by 20% within the next 7 days,Empowerment,Friendly,Boost Your Streak Today,3 minutes to keep your streak alive. Open now!,Start Session,आज स्ट्रीक को बढ़ाएं,3 मिनट में अपने स्ट्रीक को जीवित रखें। अब खोलें!,सेशन शुरू करें,Epic Meaning,direct_cta,general,1,0.175,0.47500000000000003,0.00775,4,GOOD,TPL_SEG_01_DEEP_IMMERSION_01
TPL_SEG_01_DEEP_IMMERSION_02,SEG_01,High-Active Power Users,paid,5,Deep Immersion,Days 11–15,Increase exercise completion rate by 20% within the next 7 days,Empowerment,Friendly,Ready to Beat Yesterday?,Your last score was 72. Can you top it in 5 minutes today?,Try Now,आज को पिछले स्कोर से आगे ले जाएं,आपका अंतिम स्कोर 72 था। आज 5 मिनट में इसे पार कर सकते हैं?,अब आजमाएं,Empowerment,question_hook,insight_tip,1,0.175,0.47500000000000003,0.00775,4,GOOD,TPL_SEG_01_DEEP_IMMERSION_02
TPL_SEG_01_DEEP_IMMERSION_03,SEG_01,High-Active Power Users,paid,5,Deep Immersion,Days 11–15,Increase exercise completion rate by 20% within the next 7 days,Empowerment,Friendly,"1,400 Learners Practiced Today",Don't fall behind — your peers are moving forward. Join them now.,Join Now,आज 1400 लोगों ने अभ्यास किया है,अपने साथी को पीछे नहीं छोड़ें — आपके दोस्त आगे बढ़ रहे हैं। उन्हें अब शामिल करें!,अब शुरू करें,Empowerment,social_proof,challenge,1,0.175,0.47500000000000003,0.00775,4,GOOD,TPL_SEG_01_DEEP_IMMERSION_03
TPL_SEG_01_DEEP_IMMERSION_04,SEG_01,High-Active Power Users,paid,5,Deep Immersion,Days 11–15,Increase exercise completion rate by 20% within the next 7 days,Empowerment,Friendly,Tip: 10 min daily beats 2 hr weekly,Consistency builds fluency. One short session now keeps progress compounding.,Start Session,सुझाव: दैनिक 10 मिनट अधिक से अधिक हफ्ते की तुलना में 2 घंटे से अधिक,निरंतरता भाषण की fluency बनाती है। एक छोटी सी सेशन अब प्रगति जोड़ती है!,सेशन शुरू करें,Empowerment,insight_tip,challenge,1,0.175,0.47500000000000003,0.00775,4,GOOD,TPL_SEG_01_DEEP_IMMERSION_04
TPL_SEG_01_DEEP_IMMERSION_05,SEG_01,High-Active Power Users,paid,5,Deep Immersion,Days 11–15,Increase exercise completion rate by 20% within the next 7 days,Empowerment,Friendly,Day 5 Challenge Unlocked,You're on a roll — tackle today's challenge to unlock your next badge.,Take On Challenge,दिन 5 चुनौती खुल गई है,आप तेजी से चल रहे हैं — आज की चुनौती को पार करने पर अगला बैज खोजें!,चुनौती लें,Empowerment,challenge,general,1,0.175,0.47500000000000003,0.00775,4,GOOD,TPL_SEG_01_DEEP_IMMERSION_05
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01,SEG_01,High-Active Power Users,paid,6,Social & Expansion Drive,Days 16–20,Increase Monthly Retention by 10% through Social Accountability and Referral Programs,Epic Meaning,Motivational,Unlock Your Potential,Complete today's session to boost your streak and progress.,Start Now,अपने संभावनाओं को खोलें,आज की सत्र को पूरा करने से आपकी स्ट्रीक और प्रगति बढ़ेगी।,शुरू करें,Epic Meaning,direct_cta,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02,SEG_01,High-Active Power Users,paid,6,Social & Expansion Drive,Days 16–20,Increase Monthly Retention by 10% through Social Accountability and Referral Programs,Epic Meaning,Motivational,Ready to Beat Yesterday?,Your last score was 72. Can you top it in 5 minutes today?,Try Again,आज को पीछे छोड़ना तैयार हैं?,आपकी पिछली स्कोर थी 72। आज 5 मिनट में इसे पूरा कर सकते हैं?,फिर से देखें,Epic Meaning,question_hook,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03,SEG_01,High-Active Power Users,paid,6,Social & Expansion Drive,Days 16–20,Increase Monthly Retention by 10% through Social Accountability and Referral Programs,Epic Meaning,Motivational,"1,400 Learners Practiced Today",Don't fall behind — your peers are moving forward. Join them now.,Join Now,आज 1400 सीखने वालों ने अभ्यास किया है,अपनी पीछे पड़ने से बचें — आपके दोस्त आगे बढ़ रहे हैं। उन्हें अब शामिल करें।,अब शुरू करें,Epic Meaning,social_proof,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04,SEG_01,High-Active Power Users,paid,6,Social & Expansion Drive,Days 16–20,Increase Monthly Retention by 10% through Social Accountability and Referral Programs,Epic Meaning,Motivational,Tip: 10 min daily beats 2 hr weekly,Consistency builds fluency. One short session now keeps progress compounding.,Start Your Session,सुझाव: दैनिक 10 मिनट से 2 घंटे की हफ्ते में अधिक प्रगति करते हैं,"निरंतरता भाषण की ताकत बनाती है। एक छोटी सत्र को अब शुरू करें, और प्रगति जारी रखें।",आज की सत्र शुरू करें,Epic Meaning,insight_tip,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05,SEG_01,High-Active Power Users,paid,6,Social & Expansion Drive,Days 16–20,Increase Monthly Retention by 10% through Social Accountability and Referral Programs,Epic Meaning,Motivational,Day 5 Challenge Unlocked,You're on a roll — tackle today's challenge to unlock your next badge.,Take the Challenge,दिन 5 चैलेंज खुला है,आपकी रोल में हैं — आज के चैलेंज को पूरा करके अगले बैज को खुलाएं।,चैलेंज लें,Epic Meaning,challenge,general,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05
TPL_SEG_01_OVERCOMING_THE_SLUMP_01,SEG_01,High-Active Power Users,paid,7,Overcoming the Slump,Days 21–25,Re-engage High-Active Power Users with personalized win-back content and limited-time offer,Epic Meaning,Motivational,Your 7-day streak is at risk!,Only 2 days left in your trial! Complete today's session to keep it alive.,Open Now,अपनी 7 दिनों की स्ट्रीक खतरे में है!,आपका ट्रायल समय शुरू होने वाला है। आज सेशन खोलें और इसे बचाएं.,अब खोलें,Loss Avoidance,direct_cta,Streaks,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_OVERCOMING_THE_SLUMP_01
TPL_SEG_01_OVERCOMING_THE_SLUMP_02,SEG_01,High-Active Power Users,paid,7,Overcoming the Slump,Days 21–25,Re-engage High-Active Power Users with personalized win-back content and limited-time offer,Epic Meaning,Motivational,Ready to beat yesterday?,Your last score was 72. Can you top it in 5 minutes today?,Start Today's Session,क्या आप कल की तुलना में बेहतर कर सकते हैं?,आपका अंतिम स्कोर था। आज 5 मिनट में इसे पार कर सकते हैं?,आज का सेशन शुरू करें,Epic Meaning,question_hook,Scores,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_OVERCOMING_THE_SLUMP_02
TPL_SEG_01_OVERCOMING_THE_SLUMP_03,SEG_01,High-Active Power Users,paid,7,Overcoming the Slump,Days 21–25,Re-engage High-Active Power Users with personalized win-back content and limited-time offer,Epic Meaning,Motivational,"1,400 learners practiced today",Don't fall behind — your peers are moving forward. Join them now.,Join the Movement,आज 1400 सीखने वालों ने अभ्यास किया!,अपनी प्रतिद्वंद्वियों को आगे बढ़ने दें — उन्हें अब शामिल हों.,संगठित होने के लिए,Epic Meaning,social_proof,Learners,1,0.174,0.466,0.0076,5,GOOD,TPL_SEG_01_OVERCOMING_THE_SLUMP_03
