entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation,timestamp
segment,SEG_01,timing_shift,window_performance,night,evening,"Shifting to historically highest performing window (combined_score=0.3792, ctr=0.215, eng=0.543)",2026-03-10 19:44:09
segment,SEG_01,timing_shift,window_performance,early_morning,evening,"Shifting to historically highest performing window (combined_score=0.3792, ctr=0.215, eng=0.543)",2026-03-10 19:44:09
segment,SEG_04,timing_shift,window_performance,night,evening,"Shifting to historically highest performing window (combined_score=0.2812, ctr=0.147, eng=0.415)",2026-03-10 19:44:09
segment,SEG_06,timing_shift,window_performance,mid_morning,evening,"Shifting to historically highest performing window (combined_score=0.1717, ctr=0.080, eng=0.263)",2026-03-10 19:44:09
segment,SEG_11,timing_shift,window_performance,night,evening,"Shifting to historically highest performing window (combined_score=0.3350, ctr=0.175, eng=0.495)",2026-03-10 19:44:09
segment,SEG_12,timing_shift,window_performance,night,evening,"Shifting to historically highest performing window (combined_score=0.1967, ctr=0.093, eng=0.300)",2026-03-10 19:44:09
segment,SEG_13,timing_shift,window_performance,early_morning,evening,"Shifting to historically highest performing window (combined_score=0.2037, ctr=0.100, eng=0.307)",2026-03-10 19:44:09
template,TPL_SEG_06_ACTIVATION___VALUE_DISCOVERY_01_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Boost Your Streak Today!,"theme=Empowerment | My Streak Was Dead, But SpeakX Brought Me Back to Life","इस सेगमेंट के लिए ""कमबैक स्टोरी"" एंगल और ""इmpावरमेंट"" थीम काम करता है क्योंकि यह उपयोगकर्ताओं को अपनी प्रगति को फिर से शुरू करने के लिए प्रेरित करता है.",2026-03-10 19:44:14
template,TPL_SEG_06_ACTIVATION___VALUE_DISCOVERY_02_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Ready to Beat Yesterday?,theme=Loss Avoidance | Phoenix Rises from the Ashes of Inactivity,"इस संदेश का उद्देश्य उन उपयोगकर्ताओं को प्रेरित करना है जो अभी तक सक्रिय नहीं हैं, और उनकी गतिविधि को फिर से शुरू करने के लिए प्रोत्साहित करना है।",2026-03-10 19:44:18
template,TPL_SEG_06_ACTIVATION___VALUE_DISCOVERY_03_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Join the Movement!,theme=Curiosity | Your Second Wind Awaits — Curiosity,Applied Curiosity via second wind angle for SEG_06,2026-03-10 19:44:24
template,TPL_SEG_06_ACTIVATION___VALUE_DISCOVERY_04_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Unlock Your Potential!,"theme=Social Proof | Your Streak Was Hidden, But SpeakX Uncovered It","स्ट्रीक के बारे में जागरूकता बढ़ाने वाले सोशल प्रूफ थीम और हिडन रिजर्व एन्जल का उपयोग करके, हम इस सेगमेंट को अधिक सक्रिय और आत्मविश्वासी बनाने में मदद कर सकते हैं.",2026-03-10 19:44:29
template,TPL_SEG_06_ACTIVATION___VALUE_DISCOVERY_05_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Your Turn to Shine!,"theme=Scarcity | Your Streak Was Hidden, But SpeakX Uncovered It","स्ट्रीक को खोजते समय, स्पीकरएक्स ने आपको अपना नया स्टार्ट दिया। इसे बनाए रखने के लिए अभ्यास करें और अगले बैज हासिल करें।",2026-03-10 19:44:33
template,TPL_SEG_06_HABIT_FORMATION___EARLY_ENGAGEMENT_01_v2,template_replacement,"poor_performance_suppression: CTR=3.67%, ER=11.33%",theme=Epic Meaning | Start Today's Session,theme=Accomplishment | Phoenix Rises from the Ashes of Inactivity,"This angle and theme work for this segment because it acknowledges the user's past inactivity and offers a fresh start with SpeakX, highlighting the benefits of daily practice to overcome the slump.",2026-03-10 19:44:38
