template_id,segment_id,segment_name,lifecycle_stage,phase_name,primary_goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_SEG_01_PREMIUM_AFFIRMATION_01,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Epic Meaning,evening,5000,1050,2850,0.21,0.57,0.006,GOOD
TPL_SEG_01_PREMIUM_AFFIRMATION_02,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Empowerment,morning,5000,900,2400,0.18,0.48,0.009,GOOD
TPL_SEG_01_PREMIUM_AFFIRMATION_03,SEG_01,High-Active Power Users,paid,Premium Affirmation,Increase exercise completion rate by 20%,Loss Avoidance,evening,5000,1150,2650,0.23,0.53,0.007,GOOD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Epic Meaning,evening,6000,1260,3300,0.21,0.55,0.0055,GOOD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Epic Meaning,morning,6000,1020,2760,0.17,0.46,0.008,GOOD
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Empowerment,afternoon,6000,660,1920,0.11,0.32,0.011,NEUTRAL
TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04,SEG_01,High-Active Power Users,paid,Social & Expansion Drive,Increase Monthly Retention by 10%,Loss Avoidance,evening,6000,1380,3060,0.23,0.51,0.0065,GOOD
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_01,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Empowerment,evening,4000,840,2200,0.21,0.55,0.005,GOOD
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_02,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Epic Meaning,morning,4000,680,1720,0.17,0.43,0.0085,GOOD
TPL_SEG_01_LOYALTY_PROGRAM_ACTIVATION_03,SEG_01,High-Active Power Users,paid,Loyalty Program Activation,Boost Monthly Retention by 10%,Loss Avoidance,night,4000,400,1080,0.1,0.27,0.012,NEUTRAL
TPL_SEG_01_ADVOCACY___REFERRAL_PROGRAM_01,SEG_01,High-Active Power Users,paid,Advocacy & Referral Program,Drive referral sign-ups,Empowerment,evening,5000,1000,2750,0.2,0.55,0.006,GOOD
TPL_SEG_01_ADVOCACY___REFERRAL_PROGRAM_02,SEG_01,High-Active Power Users,paid,Advocacy & Referral Program,Drive referral sign-ups,Epic Meaning,afternoon,5000,550,1600,0.11,0.32,0.01,NEUTRAL
TPL_SEG_01_ADVOCACY___REFERRAL_PROGRAM_03,SEG_01,High-Active Power Users,paid,Advocacy & Referral Program,Drive referral sign-ups,Loss Avoidance,morning,5000,850,2250,0.17,0.45,0.0075,GOOD
TPL_SEG_04_ACTIVATION_NUDGE_01,SEG_04,Casual Learners At Risk,trial,Activation Nudge,Activate first lesson within 48h,Empowerment,morning,8000,880,2640,0.11,0.33,0.013,NEUTRAL
TPL_SEG_04_ACTIVATION_NUDGE_02,SEG_04,Casual Learners At Risk,trial,Activation Nudge,Activate first lesson within 48h,Epic Meaning,evening,8000,1200,3440,0.15,0.43,0.009,GOOD
TPL_SEG_04_ACTIVATION_NUDGE_03,SEG_04,Casual Learners At Risk,trial,Activation Nudge,Activate first lesson within 48h,Loss Avoidance,afternoon,8000,480,1600,0.06,0.2,0.016,NEUTRAL
TPL_SEG_04_HABIT_BUILDING_01,SEG_04,Casual Learners At Risk,trial,Habit Building,Drive 3+ sessions in first week,Empowerment,evening,6000,900,2580,0.15,0.43,0.01,GOOD
TPL_SEG_04_HABIT_BUILDING_02,SEG_04,Casual Learners At Risk,trial,Habit Building,Drive 3+ sessions in first week,Epic Meaning,morning,6000,540,1680,0.09,0.28,0.014,NEUTRAL
TPL_SEG_04_HABIT_BUILDING_03,SEG_04,Casual Learners At Risk,trial,Habit Building,Drive 3+ sessions in first week,Loss Avoidance,evening,6000,1020,2700,0.17,0.45,0.0085,GOOD
TPL_SEG_04_CONVERSION_PUSH_01,SEG_04,Casual Learners At Risk,trial,Conversion Push,Convert trial to paid,Empowerment,evening,5000,600,1750,0.12,0.35,0.011,NEUTRAL
TPL_SEG_04_CONVERSION_PUSH_02,SEG_04,Casual Learners At Risk,trial,Conversion Push,Convert trial to paid,Loss Avoidance,morning,5000,450,1350,0.09,0.27,0.015,NEUTRAL
TPL_SEG_04_CONVERSION_PUSH_03,SEG_04,Casual Learners At Risk,trial,Conversion Push,Convert trial to paid,Epic Meaning,night,5000,250,800,0.05,0.16,0.018,BAD
TPL_SEG_06_RE_ENGAGEMENT_HOOK_01,SEG_06,Disengaged But Paying,paid,Re-engagement Hook,Stop churn in first 7 days,Empowerment,evening,10000,700,2400,0.07,0.24,0.021,NEUTRAL
TPL_SEG_06_RE_ENGAGEMENT_HOOK_02,SEG_06,Disengaged But Paying,paid,Re-engagement Hook,Stop churn in first 7 days,Loss Avoidance,morning,10000,500,1800,0.05,0.18,0.026,BAD
TPL_SEG_06_RE_ENGAGEMENT_HOOK_03,SEG_06,Disengaged But Paying,paid,Re-engagement Hook,Stop churn in first 7 days,Epic Meaning,afternoon,10000,300,1000,0.03,0.1,0.031,BAD
TPL_SEG_06_VALUE_DEMONSTRATION_01,SEG_06,Disengaged But Paying,paid,Value Demonstration,Show ROI of subscription,Empowerment,evening,8000,640,2080,0.08,0.26,0.019,NEUTRAL
TPL_SEG_06_VALUE_DEMONSTRATION_02,SEG_06,Disengaged But Paying,paid,Value Demonstration,Show ROI of subscription,Epic Meaning,morning,8000,400,1280,0.05,0.16,0.025,BAD
TPL_SEG_06_VALUE_DEMONSTRATION_03,SEG_06,Disengaged But Paying,paid,Value Demonstration,Show ROI of subscription,Loss Avoidance,night,8000,240,640,0.03,0.08,0.033,BAD
TPL_SEG_06_HABIT_RESTART_01,SEG_06,Disengaged But Paying,paid,Habit Restart,Rebuild daily session habit,Empowerment,evening,7000,630,2030,0.09,0.29,0.018,NEUTRAL
TPL_SEG_06_HABIT_RESTART_02,SEG_06,Disengaged But Paying,paid,Habit Restart,Rebuild daily session habit,Loss Avoidance,morning,7000,350,1120,0.05,0.16,0.027,BAD
TPL_SEG_06_HABIT_RESTART_03,SEG_06,Disengaged But Paying,paid,Habit Restart,Rebuild daily session habit,Epic Meaning,afternoon,7000,210,560,0.03,0.08,0.029,BAD
