segment_id,segment_name,lifecycle_stage,lifecycle_day,notif_1,notif_2,notif_3,notif_4,notif_5,notif_6,notif_7,notif_8,notif_9
SEG_01,High-Active Power Users,paid,D8,"(TPL_SEG_01_PREMIUM_AFFIRMATION_05, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, night, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, early_morning, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, mid_morning, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D9,"(TPL_SEG_01_PREMIUM_AFFIRMATION_01, night, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_02, early_morning, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, afternoon, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_05, late_afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D10,"(TPL_SEG_01_PREMIUM_AFFIRMATION_02, early_morning, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_03, evening, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_04, night, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_05, late_afternoon, push_notification)","(TPL_SEG_01_PREMIUM_AFFIRMATION_01, mid_morning, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D11,"(TPL_SEG_01_DEEP_IMMERSION_03, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, night, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, early_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, mid_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D12,"(TPL_SEG_01_DEEP_IMMERSION_04, night, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, early_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, afternoon, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, late_afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D13,"(TPL_SEG_01_DEEP_IMMERSION_05, early_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, night, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, late_afternoon, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, mid_morning, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D14,"(TPL_SEG_01_DEEP_IMMERSION_01, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_02, night, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, early_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, mid_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D15,"(TPL_SEG_01_DEEP_IMMERSION_02, night, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_03, early_morning, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_04, evening, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_05, afternoon, push_notification)","(TPL_SEG_01_DEEP_IMMERSION_01, late_afternoon, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D16,"(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03, early_morning, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, night, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01, late_afternoon, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02, mid_morning, in_app_message)",,,,
SEG_01,High-Active Power Users,paid,D17,"(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_04, evening, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_05, night, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_01, early_morning, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_02, mid_morning, push_notification)","(TPL_SEG_01_SOCIAL___EXPANSION_DRIVE_03, afternoon, in_app_message)",,,,
